converted,score_differential,game_seconds_remaining,situation
0,0.0,1805.0,Medium_Midfield Area
0,-3.0,1187.0,Long_Opponent Territory
0,-3.0,90.0,Short_Midfield Area
0,3.0,33.0,Long_Opponent Territory
1,-3.0,3239.0,Short_Midfield Area
0,-12.0,764.0,Long_Red Zone
1,0.0,159.0,Short_Opponent Territory
0,-7.0,62.0,Medium_Opponent Territory
1,0.0,3263.0,Short_Opponent Territory
0,-5.0,1395.0,Short_Red Zone
1,-2.0,313.0,Short_Midfield Area
0,-2.0,185.0,Short_Midfield Area
1,-5.0,114.0,Medium_Midfield Area
1,-6.0,119.0,Medium_Midfield Area
1,1.0,2836.0,Short_Midfield Area
0,-22.0,10.0,Short_Red Zone
1,4.0,2119.0,Short_Red Zone
1,-22.0,1144.0,Short_Midfield Area
1,-22.0,854.0,Medium_Red Zone
0,17.0,239.0,Short_Red Zone
0,-17.0,156.0,Short_Own Territory
0,-3.0,2587.0,Short_Midfield Area
0,-3.0,2482.0,Short_Midfield Area
0,-7.0,1639.0,Medium_Opponent Territory
0,-7.0,1214.0,Medium_Red Zone
0,-7.0,978.0,Medium_Opponent Territory
0,10.0,180.0,Short_Midfield Area
1,-6.0,1474.0,Short_Midfield Area
1,-6.0,1344.0,Medium_Midfield Area
0,-6.0,1022.0,Medium_Red Zone
1,-6.0,542.0,Short_Opponent Territory
0,0.0,3204.0,Short_Red Zone
0,0.0,1802.0,Long_Midfield Area
0,0.0,3197.0,Medium_Opponent Territory
1,1.0,2192.0,Short_Opponent Territory
0,-29.0,631.0,Long_Midfield Area
0,29.0,487.0,Medium_Opponent Territory
1,-29.0,368.0,Short_Opponent Territory
0,-29.0,312.0,Long_Opponent Territory
1,29.0,171.0,Short_Midfield Area
1,29.0,31.0,Short_Red Zone
1,-7.0,2936.0,Short_Opponent Territory
0,-13.0,122.0,Medium_Red Zone
0,0.0,3432.0,Short_Red Zone
1,0.0,3221.0,Short_Red Zone
1,4.0,2801.0,Short_Opponent Territory
1,-8.0,1882.0,Short_Red Zone
1,-3.0,3133.0,Medium_Opponent Territory
1,-4.0,2524.0,Short_Red Zone
0,-3.0,2070.0,Short_Opponent Territory
1,-3.0,3146.0,Short_Midfield Area
0,-7.0,1269.0,Short_Red Zone
0,0.0,366.0,Short_Red Zone
0,0.0,104.0,Short_Red Zone
1,6.0,1834.0,Short_Midfield Area
0,-9.0,1358.0,Short_Red Zone
1,-9.0,1120.0,Short_Opponent Territory
1,-9.0,859.0,Short_Red Zone
0,-14.0,214.0,Long_Midfield Area
0,-14.0,16.0,Long_Opponent Territory
1,0.0,3466.0,Short_Midfield Area
1,3.0,2509.0,Short_Opponent Territory
1,-6.0,2216.0,Short_Opponent Territory
0,-7.0,614.0,Short_Opponent Territory
1,-4.0,51.0,Long_Midfield Area
0,-4.0,24.0,Long_Opponent Territory
1,7.0,2544.0,Short_Opponent Territory
1,11.0,120.0,Short_Opponent Territory
0,-11.0,1563.0,Medium_Opponent Territory
0,-11.0,958.0,Medium_Opponent Territory
1,-21.0,316.0,Short_Red Zone
1,-11.0,2192.0,Short_Midfield Area
1,-3.0,198.0,Medium_Opponent Territory
0,-3.0,127.0,Long_Midfield Area
0,3.0,104.0,Short_Red Zone
1,-3.0,67.0,Short_Midfield Area
0,-3.0,247.0,Medium_Opponent Territory
0,-4.0,2431.0,Short_Red Zone
0,4.0,1374.0,Short_Red Zone
1,-6.0,74.0,Short_Midfield Area
1,-6.0,51.0,Long_Midfield Area
0,-6.0,23.0,Long_Opponent Territory
0,3.0,179.0,Long_Red Zone
1,-7.0,523.0,Long_Midfield Area
0,-7.0,266.0,Medium_Opponent Territory
1,0.0,3420.0,Short_Midfield Area
0,-3.0,1302.0,Short_Midfield Area
1,3.0,1115.0,Short_Red Zone
0,-10.0,107.0,Long_Own Territory
0,0.0,3416.0,Medium_Opponent Territory
0,0.0,226.0,Short_Red Zone
0,7.0,2335.0,Short_Opponent Territory
1,-7.0,2273.0,Short_Midfield Area
1,0.0,1892.0,Short_Midfield Area
0,-3.0,21.0,Long_Opponent Territory
1,0.0,3429.0,Short_Opponent Territory
0,-10.0,1914.0,Short_Opponent Territory
0,13.0,802.0,Medium_Opponent Territory
1,-13.0,690.0,Short_Opponent Territory
0,-13.0,381.0,Long_Opponent Territory
1,-13.0,257.0,Medium_Midfield Area
1,-13.0,179.0,Long_Opponent Territory
1,-13.0,116.0,Medium_Opponent Territory
0,-21.0,1903.0,Short_Midfield Area
0,-24.0,1805.0,Long_Midfield Area
0,24.0,1682.0,Medium_Opponent Territory
1,-24.0,1471.0,Long_Opponent Territory
0,-24.0,1373.0,Long_Red Zone
0,-27.0,577.0,Medium_Red Zone
1,3.0,1920.0,Short_Red Zone
0,-7.0,646.0,Short_Midfield Area
0,-3.0,55.0,Short_Own Territory
1,-7.0,176.0,Short_Red Zone
1,3.0,1433.0,Short_Red Zone
1,9.0,989.0,Short_Opponent Territory
0,-16.0,616.0,Short_Red Zone
0,0.0,3276.0,Short_Opponent Territory
1,1.0,956.0,Medium_Opponent Territory
0,9.0,75.0,Medium_Opponent Territory
0,-4.0,2855.0,Short_Red Zone
1,-4.0,2586.0,Short_Opponent Territory
0,-15.0,481.0,Long_Midfield Area
1,-15.0,283.0,Short_Midfield Area
1,3.0,2465.0,Short_Opponent Territory
1,-3.0,137.0,Short_Midfield Area
1,-3.0,52.0,Long_Opponent Territory
1,-7.0,170.0,Medium_Red Zone
1,3.0,2665.0,Medium_Opponent Territory
1,3.0,1936.0,Short_Red Zone
0,-3.0,1573.0,Medium_Opponent Territory
0,-10.0,655.0,Medium_Opponent Territory
1,7.0,115.0,Medium_Opponent Territory
0,-3.0,2419.0,Short_Red Zone
0,4.0,1802.0,Short_Opponent Territory
0,4.0,293.0,Short_Red Zone
0,-4.0,109.0,Long_Opponent Territory
0,-12.0,1825.0,Short_Opponent Territory
1,15.0,1352.0,Short_Red Zone
0,-22.0,798.0,Long_Opponent Territory
1,-22.0,548.0,Medium_Opponent Territory
0,-22.0,416.0,Long_Midfield Area
1,0.0,2705.0,Short_Red Zone
1,-7.0,2549.0,Medium_Opponent Territory
1,-3.0,1430.0,Short_Midfield Area
1,-6.0,896.0,Medium_Red Zone
1,0.0,2330.0,Short_Opponent Territory
1,-4.0,1434.0,Medium_Opponent Territory
1,-4.0,403.0,Short_Opponent Territory
0,7.0,2197.0,Short_Red Zone
0,-14.0,955.0,Short_Midfield Area
0,-17.0,50.0,Long_Midfield Area
0,-3.0,1994.0,Short_Red Zone
1,19.0,640.0,Short_Opponent Territory
0,-26.0,195.0,Long_Opponent Territory
0,8.0,185.0,Short_Opponent Territory
0,-4.0,35.0,Short_Opponent Territory
0,-10.0,2188.0,Long_Opponent Territory
0,-23.0,1550.0,Long_Opponent Territory
1,23.0,1234.0,Long_Opponent Territory
0,-18.0,72.0,Long_Opponent Territory
0,-7.0,2882.0,Short_Red Zone
0,-2.0,1328.0,Short_Midfield Area
0,-15.0,450.0,Long_Opponent Territory
0,-18.0,111.0,Long_Opponent Territory
1,-7.0,2089.0,Short_Opponent Territory
0,-7.0,27.0,Short_Red Zone
1,-11.0,2483.0,Medium_Opponent Territory
1,-11.0,2256.0,Medium_Red Zone
0,-10.0,1876.0,Medium_Opponent Territory
1,4.0,189.0,Medium_Red Zone
1,-18.0,1616.0,Medium_Red Zone
1,-14.0,115.0,Long_Midfield Area
0,7.0,1825.0,Medium_Opponent Territory
0,-7.0,1807.0,Medium_Midfield Area
1,-14.0,1062.0,Short_Opponent Territory
0,-14.0,859.0,Medium_Red Zone
1,14.0,330.0,Short_Red Zone
0,10.0,64.0,Medium_Opponent Territory
1,-10.0,1499.0,Short_Red Zone
0,0.0,622.0,Short_Midfield Area
0,-7.0,331.0,Medium_Midfield Area
0,-11.0,1910.0,Short_Opponent Territory
1,15.0,1099.0,Short_Midfield Area
0,18.0,428.0,Short_Red Zone
0,-28.0,328.0,Long_Red Zone
1,-17.0,967.0,Long_Midfield Area
0,-21.0,275.0,Long_Opponent Territory
0,0.0,2761.0,Short_Opponent Territory
0,3.0,1962.0,Short_Opponent Territory
0,-3.0,1857.0,Short_Opponent Territory
1,3.0,1840.0,Short_Opponent Territory
0,3.0,1802.0,Long_Opponent Territory
0,0.0,776.0,Short_Opponent Territory
1,-7.0,395.0,Short_Red Zone
0,-4.0,87.0,Medium_Midfield Area
1,-3.0,3226.0,Short_Red Zone
1,-8.0,529.0,Short_Opponent Territory
1,-5.0,264.0,Medium_Midfield Area
0,-5.0,148.0,Medium_Red Zone
1,-5.0,47.0,Short_Midfield Area
1,0.0,2625.0,Short_Midfield Area
0,-28.0,313.0,Medium_Red Zone
0,-7.0,2866.0,Short_Red Zone
1,-14.0,1526.0,Short_Opponent Territory
0,-14.0,1404.0,Medium_Red Zone
1,24.0,691.0,Short_Red Zone
1,31.0,123.0,Short_Opponent Territory
0,-16.0,1840.0,Short_Opponent Territory
1,-16.0,1700.0,Short_Midfield Area
0,-20.0,82.0,Long_Opponent Territory
1,-2.0,49.0,Long_Midfield Area
0,-14.0,1615.0,Medium_Opponent Territory
1,-17.0,837.0,Short_Midfield Area
1,-17.0,730.0,Long_Midfield Area
1,-24.0,248.0,Medium_Opponent Territory
0,-24.0,128.0,Short_Opponent Territory
1,-3.0,682.0,Medium_Opponent Territory
0,-4.0,114.0,Medium_Midfield Area
1,-7.0,2055.0,Short_Red Zone
1,0.0,1878.0,Medium_Opponent Territory
1,7.0,869.0,Short_Midfield Area
0,7.0,660.0,Short_Opponent Territory
0,-7.0,419.0,Short_Opponent Territory
1,14.0,1803.0,Medium_Opponent Territory
0,14.0,1640.0,Medium_Opponent Territory
0,-28.0,19.0,Long_Red Zone
1,-7.0,3034.0,Medium_Opponent Territory
1,-7.0,2954.0,Long_Opponent Territory
1,3.0,1920.0,Short_Midfield Area
1,-7.0,1574.0,Short_Opponent Territory
1,-10.0,634.0,Short_Opponent Territory
1,0.0,3281.0,Short_Opponent Territory
1,-2.0,1097.0,Short_Midfield Area
1,1.0,543.0,Short_Opponent Territory
0,8.0,304.0,Medium_Opponent Territory
0,-8.0,153.0,Long_Opponent Territory
0,8.0,72.0,Short_Opponent Territory
0,-8.0,50.0,Long_Midfield Area
1,-7.0,1580.0,Medium_Opponent Territory
0,-7.0,2779.0,Long_Opponent Territory
0,31.0,120.0,Short_Red Zone
1,0.0,3056.0,Short_Midfield Area
1,0.0,2839.0,Medium_Opponent Territory
1,-3.0,1906.0,Short_Red Zone
1,-13.0,67.0,Short_Own Territory
1,0.0,3461.0,Medium_Opponent Territory
1,0.0,3223.0,Short_Red Zone
1,-7.0,2374.0,Short_Red Zone
1,0.0,2280.0,Medium_Opponent Territory
1,-6.0,1069.0,Medium_Opponent Territory
0,-8.0,335.0,Long_Opponent Territory
1,8.0,201.0,Short_Midfield Area
0,-7.0,3229.0,Short_Midfield Area
0,-25.0,1185.0,Medium_Midfield Area
1,-28.0,123.0,Long_Midfield Area
1,14.0,1277.0,Short_Opponent Territory
1,-17.0,372.0,Short_Red Zone
1,-13.0,16.0,Medium_Midfield Area
1,-8.0,1064.0,Short_Midfield Area
0,-15.0,627.0,Medium_Red Zone
1,-15.0,229.0,Medium_Red Zone
0,-8.0,103.0,Long_Opponent Territory
0,-3.0,3305.0,Long_Opponent Territory
1,-6.0,1920.0,Short_Opponent Territory
1,0.0,1472.0,Short_Opponent Territory
0,10.0,445.0,Short_Opponent Territory
0,7.0,134.0,Short_Opponent Territory
0,6.0,815.0,Medium_Opponent Territory
0,-3.0,308.0,Short_Midfield Area
0,3.0,173.0,Short_Red Zone
1,3.0,1572.0,Short_Opponent Territory
0,-17.0,1234.0,Short_Opponent Territory
1,-24.0,17.0,Short_Midfield Area
0,0.0,3291.0,Short_Red Zone
0,0.0,2935.0,Short_Red Zone
1,3.0,2152.0,Short_Midfield Area
1,-10.0,240.0,Short_Opponent Territory
1,-7.0,28.0,Medium_Red Zone
0,0.0,374.0,Short_Opponent Territory
1,0.0,3187.0,Short_Midfield Area
0,-14.0,492.0,Short_Opponent Territory
0,-14.0,138.0,Long_Opponent Territory
0,0.0,3318.0,Short_Opponent Territory
0,10.0,1289.0,Short_Opponent Territory
1,0.0,3419.0,Short_Opponent Territory
0,-7.0,1038.0,Short_Red Zone
0,-10.0,425.0,Long_Midfield Area
1,0.0,3516.0,Short_Midfield Area
0,0.0,3295.0,Short_Opponent Territory
1,-7.0,2966.0,Medium_Opponent Territory
0,-3.0,3021.0,Medium_Red Zone
1,0.0,2248.0,Short_Opponent Territory
1,-3.0,1019.0,Short_Midfield Area
0,-3.0,125.0,Medium_Midfield Area
1,-7.0,3221.0,Short_Red Zone
0,-4.0,1021.0,Long_Midfield Area
1,-3.0,182.0,Short_Opponent Territory
0,0.0,2395.0,Short_Midfield Area
1,0.0,2134.0,Short_Midfield Area
0,-13.0,557.0,Long_Opponent Territory
1,-16.0,218.0,Long_Midfield Area
0,-16.0,175.0,Long_Opponent Territory
1,-23.0,52.0,Long_Midfield Area
1,-4.0,2114.0,Short_Red Zone
0,-3.0,2835.0,Medium_Red Zone
1,2.0,1307.0,Short_Opponent Territory
1,2.0,1066.0,Short_Red Zone
1,-12.0,525.0,Short_Opponent Territory
1,0.0,2559.0,Short_Opponent Territory
0,-21.0,120.0,Short_Midfield Area
1,7.0,2708.0,Short_Red Zone
1,-30.0,869.0,Long_Midfield Area
0,-30.0,734.0,Long_Red Zone
1,-30.0,174.0,Medium_Opponent Territory
1,-30.0,116.0,Medium_Red Zone
0,-7.0,2485.0,Short_Midfield Area
0,-17.0,32.0,Long_Opponent Territory
1,0.0,2287.0,Medium_Opponent Territory
1,-7.0,916.0,Medium_Opponent Territory
1,-4.0,33.0,Medium_Opponent Territory
1,0.0,3488.0,Short_Midfield Area
1,4.0,2788.0,Short_Opponent Territory
1,4.0,2694.0,Short_Opponent Territory
1,4.0,2569.0,Short_Red Zone
1,7.0,391.0,Short_Midfield Area
1,7.0,10.0,Short_Opponent Territory
1,-3.0,2659.0,Short_Red Zone
1,-4.0,1073.0,Short_Red Zone
0,-7.0,20.0,Long_Opponent Territory
1,-7.0,1996.0,Short_Red Zone
1,-7.0,1870.0,Medium_Red Zone
0,0.0,570.0,Short_Opponent Territory
0,-3.0,191.0,Long_Midfield Area
1,3.0,120.0,Short_Opponent Territory
0,-7.0,2764.0,Short_Red Zone
1,-21.0,1712.0,Long_Midfield Area
0,-7.0,553.0,Short_Opponent Territory
0,-3.0,5.0,Long_Midfield Area
1,18.0,2141.0,Medium_Red Zone
1,18.0,1983.0,Medium_Red Zone
1,-32.0,1749.0,Short_Midfield Area
0,-32.0,1610.0,Long_Opponent Territory
0,-39.0,1240.0,Long_Opponent Territory
0,-32.0,243.0,Long_Red Zone
1,-32.0,116.0,Medium_Midfield Area
0,-32.0,58.0,Long_Red Zone
1,6.0,2588.0,Short_Opponent Territory
0,-8.0,129.0,Long_Opponent Territory
1,-8.0,26.0,Long_Midfield Area
1,0.0,3021.0,Short_Midfield Area
1,-17.0,1163.0,Long_Opponent Territory
1,-17.0,1048.0,Short_Red Zone
1,-17.0,936.0,Medium_Red Zone
1,17.0,225.0,Short_Red Zone
0,-24.0,108.0,Long_Opponent Territory
0,-13.0,1045.0,Medium_Red Zone
1,-7.0,111.0,Long_Midfield Area
1,-7.0,8.0,Short_Red Zone
0,7.0,2418.0,Long_Opponent Territory
0,-7.0,1970.0,Short_Opponent Territory
0,-4.0,122.0,Long_Midfield Area
0,-7.0,21.0,Long_Red Zone
1,-3.0,2399.0,Short_Opponent Territory
0,-3.0,2220.0,Medium_Opponent Territory
0,0.0,1826.0,Short_Opponent Territory
1,-14.0,1153.0,Short_Midfield Area
0,-10.0,227.0,Long_Midfield Area
1,0.0,3322.0,Short_Opponent Territory
1,-10.0,271.0,Short_Opponent Territory
1,0.0,1886.0,Short_Red Zone
1,-10.0,1586.0,Long_Midfield Area
0,-17.0,115.0,Medium_Red Zone
1,0.0,3361.0,Medium_Opponent Territory
0,-7.0,2807.0,Short_Midfield Area
1,-7.0,1444.0,Short_Red Zone
1,-2.0,21.0,Long_Opponent Territory
1,-6.0,1690.0,Short_Midfield Area
1,-9.0,190.0,Long_Opponent Territory
1,2.0,1693.0,Short_Midfield Area
1,-5.0,1185.0,Short_Opponent Territory
0,1.0,1974.0,Short_Red Zone
1,-14.0,1012.0,Short_Opponent Territory
1,-13.0,1940.0,Short_Opponent Territory
0,-13.0,1834.0,Short_Opponent Territory
1,3.0,2074.0,Short_Opponent Territory
1,1.0,2960.0,Medium_Midfield Area
0,-3.0,2558.0,Medium_Midfield Area
0,3.0,1609.0,Short_Opponent Territory
1,-3.0,1447.0,Short_Midfield Area
1,-10.0,1890.0,Short_Opponent Territory
0,-13.0,482.0,Long_Opponent Territory
1,-16.0,120.0,Medium_Midfield Area
1,-16.0,58.0,Long_Opponent Territory
0,-16.0,22.0,Long_Red Zone
0,-7.0,3057.0,Short_Red Zone
0,7.0,2104.0,Short_Midfield Area
1,0.0,3335.0,Medium_Opponent Territory
1,-6.0,1293.0,Medium_Opponent Territory
1,-6.0,1146.0,Medium_Opponent Territory
1,-9.0,142.0,Short_Midfield Area
0,7.0,2978.0,Short_Opponent Territory
1,7.0,2692.0,Medium_Opponent Territory
0,-14.0,2275.0,Short_Opponent Territory
1,-21.0,2013.0,Short_Midfield Area
0,-21.0,1672.0,Short_Midfield Area
1,21.0,1372.0,Short_Red Zone
0,29.0,1039.0,Short_Red Zone
1,27.0,132.0,Short_Opponent Territory
0,0.0,3147.0,Medium_Red Zone
0,-7.0,2381.0,Short_Opponent Territory
0,-10.0,115.0,Long_Midfield Area
0,-21.0,1809.0,Long_Midfield Area
0,-27.0,807.0,Medium_Opponent Territory
1,-34.0,175.0,Medium_Opponent Territory
1,0.0,3145.0,Medium_Opponent Territory
0,0.0,2089.0,Short_Red Zone
0,-7.0,81.0,Medium_Opponent Territory
0,-7.0,16.0,Long_Midfield Area
0,4.0,2481.0,Short_Red Zone
1,-4.0,582.0,Short_Red Zone
1,-4.0,70.0,Short_Red Zone
1,-4.0,2700.0,Short_Midfield Area
0,-4.0,2550.0,Long_Opponent Territory
0,-11.0,2119.0,Medium_Midfield Area
1,11.0,2013.0,Short_Opponent Territory
1,11.0,1920.0,Short_Red Zone
0,-18.0,1837.0,Medium_Opponent Territory
0,-15.0,1098.0,Short_Red Zone
1,-11.0,337.0,Long_Midfield Area
1,-4.0,65.0,Long_Midfield Area
1,-4.0,2044.0,Short_Red Zone
0,-18.0,172.0,Medium_Midfield Area
1,-24.0,77.0,Short_Midfield Area
0,0.0,3017.0,Short_Red Zone
1,0.0,2801.0,Medium_Opponent Territory
1,-13.0,250.0,Long_Midfield Area
0,-13.0,120.0,Long_Opponent Territory
0,0.0,3512.0,Short_Midfield Area
0,10.0,1897.0,Medium_Red Zone
0,-3.0,1073.0,Medium_Opponent Territory
1,-4.0,711.0,Short_Opponent Territory
0,-3.0,12.0,Long_Midfield Area
0,-1.0,2793.0,Short_Opponent Territory
1,-1.0,2484.0,Short_Midfield Area
1,-1.0,2173.0,Short_Red Zone
1,-4.0,141.0,Medium_Midfield Area
0,-4.0,43.0,Long_Opponent Territory
1,0.0,3247.0,Short_Red Zone
1,-3.0,2793.0,Short_Red Zone
1,0.0,3281.0,Short_Opponent Territory
1,-4.0,2844.0,Short_Opponent Territory
0,11.0,1802.0,Long_Opponent Territory
0,-12.0,71.0,Medium_Midfield Area
0,0.0,3482.0,Short_Opponent Territory
1,-7.0,2700.0,Medium_Red Zone
0,0.0,2070.0,Short_Opponent Territory
1,0.0,564.0,Short_Red Zone
0,-7.0,186.0,Short_Red Zone
1,-7.0,27.0,Medium_Red Zone
1,0.0,484.0,Short_Midfield Area
0,-7.0,3381.0,Short_Opponent Territory
0,-18.0,1630.0,Short_Opponent Territory
0,-28.0,952.0,Medium_Midfield Area
1,-4.0,496.0,Short_Opponent Territory
0,-4.0,299.0,Medium_Red Zone
0,7.0,2368.0,Short_Red Zone
1,0.0,1390.0,Short_Red Zone
